CYCH,YCH,Miramichi Airport,M,46.9992,-65.4694,47.0133,-65.4372,CA,Miramichi
CYCL,YCL,Charlo Airport,M,47.9883,-66.3433,47.9925,-66.3194,CA,Charlo
CYCN,YCN,Cochrane Airport,M,49.1025,-81.0219,49.1086,-81.0053,CA,Cochrane
CYCO,YCO,Kugluktuk Airport,M,67.8128,-115.1610,67.8206,-115.1270,CA,Kugluktuk
CYCP,,Blue River Airport,M,52.1108,-119.2910,52.1225,-119.2790,CA,Blue River
CYCQ,YCQ,Chetwynd Airport,M,55.6853,-121.6370,55.6891,-121.6160,CA,Chetwynd
CYCR,YCR,Cross Lake (Charlie Sinclair Memorial) Airport,M,54.6106,-97.7608,,,CA,Cross Lake
CYCS,YCS,Chesterfield Inlet Airport,M,63.3469,-90.7311,,,CA,Chesterfield Inlet
CYCY,YCY,Clyde River Airport,M,70.4814,-68.5211,70.4908,-68.5119,CA,Clyde River
CYDA,YDA,Dawson City Airport,M,64.0386,-139.1390,64.0475,-139.1160,CA,Dawson City
CYDB,YDB,Burwash Airport,M,61.3669,-139.0520,61.3753,-139.0290,CA,Burwash
CYDC,,Princeton Airport,M,49.4640,-120.5180,49.4710,-120.5060,CA,Town of Princeton
CYDF,YDF,Deer Lake Airport,M,49.2053,-57.4007,49.2164,-57.3821,CA,Deer Lake
CYDM,XRR,Ross River Airport,M,61.9706,-132.4230,,,CA,Ross River
CYDN,YDN,Dauphin Barker Airport,M,51.0956,-100.0580,51.1072,-100.0470,CA,Dauphin
CYDO,YDO,Dolbeau St Felicien Airport,M,48.7781,-72.3852,48.7790,-72.3646,CA,Dolbeau-St-Félicien
CYDP,YDP,Nain Airport,M,56.5492,-61.6803,,,CA,Nain
CYDQ,YDQ,Dawson Creek Airport,M,55.7411,-120.1940,55.7423,-120.1690,CA,Dawson Creek
CYEE,,Huronia Airport,M,44.6786,-79.9325,44.6878,-79.9239,CA,Midland
CYEG,YEG,Edmonton International Airport,L,53.2867,-113.5960,53.3342,-113.5620,CA,Edmonton
CYEK,YEK,Arviat Airport,M,61.0895,-94.0767,61.0989,-94.0650,CA,Arviat
CYEL,YEL,Elliot Lake Municipal Airport,M,46.3489,-82.5697,46.3536,-82.5531,CA,Elliot Lake
CYEM,YEM,Manitoulin East Municipal Airport,M,45.8381,-81.8594,45.8475,-81.8567,CA,Manitowaning
CYEN,YEN,Estevan Airport,M,49.2079,-102.9760,49.2164,-102.9550,CA,Estevan
CYER,YER,Fort Severn Airport,M,56.0189,-87.6761,,,CA,Fort Severn
CYET,YET,Edson Airport,M,53.5788,-116.4790,53.5790,-116.4510,CA,Edson
CYEV,YEV,Inuvik Mike Zubko Airport,M,68.3032,-133.5050,68.3044,-133.4610,CA,Inuvik
CYEY,YEY,Amos Magny Airport,M,48.5597,-78.2578,48.5681,-78.2417,CA,Amos
CYFA,YFA,Fort Albany Airport,M,52.2014,-81.6969,,,CA,Fort Albany
CYFB,YFB,Iqaluit Airport,M,63.7478,-68.5740,63.7650,-68.5377,CA,Iqaluit
CYFC,YFC,Fredericton Airport,M,45.8630,-66.5523,45.8744,-66.5217,CA,Fredericton
CYFE,YFE,Forestville Airport,M,48.7438,-69.1070,48.7484,-69.0875,CA,Forestville
CYFH,YFH,Fort Hope Airport,M,51.5619,-87.9078,,,CA,Fort Hope
CYFJ,YTM,La Macaza / Mont-Tremblant International Inc Airport,M,46.4019,-74.7818,46.4170,-74.7777,CA,Rivière Rouge
CYFO,YFO,Flin Flon Airport,M,54.6713,-101.6840,54.6848,-101.6800,CA,Flin Flon
CYFR,YFR,Fort Resolution Airport,M,61.1767,-113.6970,61.1850,-113.6820,CA,Fort Resolution
CYFS,YFS,Fort Simpson Airport,M,61.7528,-121.2440,61.7678,-121.2300,CA,Fort Simpson
